Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.temp_test_memory_inst.template_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.temp_test_memory_inst.test_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Loading rom.
blk_mem_gen_v8_4_3 collision detected at time: 212175050000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212175150000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212583150000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212583250000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212583350000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212583450000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212583550000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212583650000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212583750000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212583850000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212583950000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212584050000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212584150000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212584250000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212584350000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212584450000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
